sku,name,brand,price,price_text
0400023060120,BL BENZLUBE LESFRIC ENGINE OIL SAE 30 CF/SF 20L,NO BRAND,85.8878,$85.8878
0400023060220,BL BENZLUBE LESFRIC ENGINE OIL SAE 40CF/SF 20L,NO BRAND,71.5887,$71.5887
0400023060320,BL BENZLUBE LESFRIC ENGINE OIL SAE 50 CF/SF 20L,NO BRAND,85.8878,$85.8878
0400023060420,BL BENZLUBE LESFRIC PREMIUM PLUS 15W40 CF4/SJ 20L,NO BRAND,78.0374,$78.0374
0400023060520,BL BENZLUBE LESFRIC PREMIUM PLUS 20W50 CF4/SJ 20L,NO BRAND,78.0373,$78.0373
0400023060720,BL BENZLUBE LESFRIC GEAR OIL 90 GL5 20L,NO BRAND,89.7196,$89.7196
0400023060820,BL BENZLUBE LESFRIC GEAR OIL 140 GL5 20L,NO BRAND,89.7196,$89.7196
040002307,BL NO2 MOLY GREASE-500GM,BL,12.0093,$12.0093
040002308,BL RUBBER GREASE-500GM,BL,20.0000,$20.0000
040002310,BL BENZLUBE LESFRIC CUP GREASE 15KG,BL,80.0000,$80.0000
040002311,BL HEAVY DUTY GREASE-500GM,BL,7.3394,$7.3394
040002312,BL HEAVY DUTY GREASE-2KG,BL,20.0000,$20.0000
040002313,BL HEAVY DUTY GREASE-15KG,BL,75.0000,$75.0000
040002315,BL EP2 LITHIUM BLUE HI TEMP GREASE - 500GM,BL,8.7156,$8.7156
040002316,BL PETROLEUM JELLY-500GM,BL,12.0000,$12.0000
040002317,BL PETROLEUM JELLY-15KG,BL,120.0000,$120.0000
0400023181,BL EP2 LITHIUM BLUE HI TEMP GREASE- 15KG,BL,135.0000,$135.0000
040002319,BL LITHIUM BLUE GREASE-500G,BL,10.0000,$10.0000
0400023195,BL EP2 LITHIUM BLUE GREASE-5L,BL,45.0000,$45.0000
040002320,BL EP2  LITHIUM BLUE GREASE-20L,BL,85.0000,$85.0000
040002321,BL LESFRIC HD40 OIL-1L,BL,8.7156,$8.7156
040002322,BL LESFRIC HD40 OIL-5L,BL,22.0183,$22.0183
040002323,BL LESFRIC HD40 OIL-18L,BL,55.0000,$55.0000
0400023231,BL LESFRIC HD40 OIL-200L,BL,550.0000,$550.0000
0400023232,ZOOM LUBE HDX40 OIL 18L,NO BRAND,55.0000,$55.0000
040002324,BL BENZLUBE LESTRIC HYDRAULC OIL AW32-20L,BL,75.0000,$75.0000
040002325,BL BENZLUBE LESTRIC HYDRAULC OIL AW32-5L,BL,24.5872,$24.5872
0400023261,BL BENZLUBE LESTRIC HYDRAULC OIL AW68-20L,BL,75.0000,$75.0000
040002327,BL BENZLUBE LESTRIC HYDRAULC OIL AW68-5L,BL,24.5872,$24.5872
040002328,BL GEAR OIL SAE 90-4L,BL,26.3761,$26.3761
040002329,BL GEAR OIL SAE 90 (CAPACITY: 20L),BL,90.0000,$90.0000
040002331,BL GEAR OIL SAE 140-4L,BL,23.0374,$23.0374
040002332,BL GEAR OIL SAE 140-18L,BL,75.0000,$75.0000
040002333,BL COMPRESSOR OIL - 4 L,BL,29.5872,$29.5872
040002334,BL SPC 46 COMPRESSOR OIL 20L,BL,100.0000,$100.0000
040002342,BL CUTTING OIL WATER SOLUBLE COOLANT-4L,BL,27.0642,$27.0642
040002344,BL OIL-WATER SOLUBLE CUTTING FLUID ( COOLANT ) -20L,BL,110.0000,$110.0000
040002348,BL CUTTING NEAT OIL ( COOLANT ) - 4L,BL,25.0000,$25.0000
0400023541,BL ALL SEASON RADIATOR CONCENTRATED COOLANT - 20L,BL,125.0000,$125.0000
0400023571,BL ALL SEASON RADIATOR PREMIXED COOLANT - 20L,BL,90.0000,$90.0000
040002358,BL ALL SEASON COOLANT-4L,BL,21.0092,$21.0092
0400023586,BL ALL SEASON RADIATOR CONCENTRATED COOLANT - GREEN - 4L,BL,40.0000,$40.0000
040002359,BL ALL SEASON RADIATOR PREMIXED COOLANT - GREEN - 1L,BL,7.0093,$7.0093
0400023591,BL ALL SEASON RADIATOR PREMIXED COOLANT - BLUE - 1L,BL,7.0093,$7.0093
0400023592,BL ALL SEASON RADIATOR PREMIXED COOLANT - PINK - 1L,BL,7.0093,$7.0093
